C00264689|60515|2017|10|20|2
C00264689|60515|2017|10|30|3
C00639963|78550|2017|100|200|2
C00639963|75211|2017|25|75|2
C00639963|75211|2017|25|100|3
C00639963|75225|2017|500|1000|2
C00350991|10025|2017|20|40|2
C00350991|11231|2017|20|40|2
C00350991|12202|2017|20|40|2
C00350991|10025|2017|20|90|4
C00350991|11216|2017|10|25|2
C00350991|11216|2017|10|40|3
C00350991|10470|2017|10|20|2
C00350991|94114|2017|45|90|2
C00350991|11205|2017|15|45|2
C00350991|11205|2017|15|75|3
C00350991|10463|2017|20|70|3
C00350991|11217|2017|25|3100|4
C00350991|11209|2017|30|60|2
C00350991|11222|2017|25|50|2
C00350991|11217|2017|25|3212|8
C00350991|11217|2017|25|3242|9
C00350991|10301|2017|25|80|3
C00636951|90272|2017|100|350|2
C00636951|92602|2017|250|500|2
C00636951|92602|2017|100|600|3
C00330142|06001|2017|200|5400|3
C00330142|06117|2017|500|3250|4
C00476192|60035|2017|2000|7400|2
C00476192|74355|2017|2700|7100|2
C00476192|74355|2017|-2700|4400|3
C00476192|46143|2017|-2700|2700|3
C00476192|70360|2017|-2700|5400|3
C00476192|47933|2017|10|35|2
C00476192|77056|2017|2700|8100|2
C00476192|46278|2017|50|800|3
C00476192|60035|2017|2000|7400|4
C00476192|47933|2017|10|60|3
C00476192|60544|2017|-2300|5000|3
C00476192|47933|2017|10|70|4
C00476192|10155|2017|2700|8100|2
C00476192|10155|2017|-2700|5400|3
C00476192|46530|2017|-2700|0|2
C00476192|70005|2017|2700|8100|2
C00476192|70005|2017|-2700|5400|3
C00476192|46077|2017|500|2500|5
C00476192|49315|2017|2700|8100|2
C00476192|47933|2017|10|80|5
C00476192|60035|2017|-2000|7400|6
C00476192|60010|2017|-2700|5400|3
C00476192|33431|2017|-2700|5400|3
C00476192|77019|2017|-5400|5400|2
C00476192|77019|2017|-2700|8100|5
C00476192|43050|2017|-2700|2700|3
C00476192|83616|2017|-2700|5400|3
C00476192|43050|2017|2700|8100|4
C00476192|49315|2017|-2700|5400|3
C00476192|49315|2017|2700|13500|5
C00476192|77019|2017|-2700|5400|6
C00476192|77019|2017|-2700|10800|7
C00476192|49315|2017|-2700|10800|6
C00476192|33431|2017|2700|13500|5
C00476192|33431|2017|-2700|10800|6
C00476192|60035|2017|-2000|12800|9
C00476192|33067|2017|2000|8900|4
C00476192|33067|2017|1500|6900|5
C00476192|46168|2017|50|250|2
C00476192|47933|2017|10|90|6
C00476192|47933|2017|10|115|7
C00658864|48071|2017|352|797|2
C00658864|48071|2017|236|1033|3
C00438713|20008|2017|2700|5400|2
C00438713|23930|2017|40|80|2
C00438713|22209|2017|200|2000|2
C00438713|23451|2017|2300|7300|3
C00438713|23354|2017|300|1000|2
C00438713|23451|2017|2300|10000|4
C00438713|22308|2017|1000|6400|3
